,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
475,230,15,0.0003420251989702044,0.0006765853643665819,0.001203256431121579,1480,1548,1548
476,230,16,0.0006206466635010073,0.0012378214773568622,0.0012896116597101263,1636,1704,1704
477,230,17,0.00032339593169359405,0.002989270937008993,0.0027061536086128305,1716,1768,1768
478,230,18,0.0027724702665813373,0.003950939520886893,0.009121689452947503,1796,1832,1832
479,230,19,0.0027522799631148013,0.011186091870014622,0.00965063522761982,1876,1896,1896
480,230,5,5.430543246511291e-05,1.9093401600459683e-05,2.5729242243516588e-05,736,320,320
481,230,6,6.869427627538795e-05,1.1284788834193976e-05,2.1963662261334554e-05,872,424,424
482,230,7,0.00034811153062752533,9.021788850761631e-06,2.8845240351564957e-05,1008,544,544
483,230,8,0.006283266555085008,3.2339193387139097e-05,5.129414042015089e-05,1144,680,680
484,230,9,0.018883286492611184,0.0001301895358416734,8.23460922217235e-06,1144,780,780
485,230,10,0.026401978100738237,0.00033892107134225947,0.00010060247016414827,1144,888,888
486,230,11,0.0629395544638172,0.00017964932571084164,0.0004465890952304313,1144,1004,1004
487,230,12,0.1262237605939911,0.00019734501072614217,0.0007857215739579469,1144,1128,1128
488,230,13,0.2231804455589339,0.0002712433009549364,0.000882190626762399,1144,1260,1260
489,230,14,0.35198381793874,0.000431084024771237,0.0006450262582290415,1144,1400,1400
490,230,15,0.5912770427799701,0.000678538091846326,0.002061903566758784,1144,1548,1548
491,230,16,0.9999999999998075,0.0033715287235545786,0.0031362397919018925,1144,1704,1704
492,230,17,0.9999999999998075,0.003516767565410045,0.006349107570904511,1144,1768,1768
493,230,18,0.9999999999998075,0.006483531328764359,0.017055946470287534,1144,1832,1832
494,230,19,0.9999999999998075,0.009114722704014826,0.023292804132192695,1144,1896,1896
495,230,5,3.437045368254638e-06,6.61126066722994e-06,2.6768411320912403e-06,462,320,320
496,230,6,5.539801850233115e-07,1.3780632998999015e-06,4.621710550004715e-06,556,424,424
497,230,7,6.51826810634143e-06,8.608786962521874e-07,8.342099838488399e-06,654,544,544
498,230,8,4.069497661328868e-06,3.424355976202867e-06,6.576514371708795e-06,756,680,680
499,230,9,2.1633036157654522e-05,2.0131699313173718e-05,2.846087877873821e-05,836,780,780
500,230,10,5.3651523533611505e-06,1.8018897597461256e-06,5.944165510234507e-05,916,888,888
501,230,11,0.00010342945318290676,2.3181997381247508e-05,0.00023915787949394297,996,1004,1004
502,230,12,0.00017553362244696259,0.00020390624199755013,0.00014504665561773208,1076,1128,1128
503,230,13,0.000318939020110371,7.386680231085798e-05,0.00039861592985398174,1156,1260,1260
504,230,14,0.00047386802416582343,0.0004013883831081324,0.0010131457195186077,1236,1400,1400
505,230,15,0.000803518246259389,0.00055626157897523,0.0011296838264740867,1316,1548,1548
506,230,16,0.004973161238673271,0.00017923821904153772,0.0024452893055968753,1396,1704,1704
507,230,17,0.011101574060589531,0.0010634779869342615,0.004484645349940328,1396,1768,1768
508,230,18,0.013937347561081677,0.0021952579648402597,0.005224816192794769,1396,1832,1832
509,230,19,0.024107490587026943,0.004692799270586454,0.007385677005876038,1396,1896,1896
510,230,5,5.184835992668292e-06,1.0108024212199124e-05,1.1166069402049686e-05,378,320,320
511,230,6,9.975595229627025e-06,1.080057186184146e-05,6.937109314075147e-05,504,424,424
512,230,7,1.9999060359627005e-05,3.558046019058827e-05,2.649437712158811e-05,650,544,544
513,230,8,7.957352610171882e-05,0.0001548603820956134,6.986926063755793e-05,816,680,680
514,230,9,5.5370241653206716e-05,4.155963101948307e-05,4.636420100631472e-05,896,780,780
